Año,Trimestre,Provincia,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OTROS,Total,Mbps (Media de bajada),,
2020,4,Catamarca,71,0,8843,8740,11436,591,20406,2309,52396,37.65,,
2020,4,Chaco,301,112,24782,22479,26802,15701,40949,7965,139091,32.45,,
2020,4,Chubut,106,109,88157,21824,12046,2818,1112,4402,130574,7.38,,
2020,4,Córdoba,119,2386,214963,135262,82221,70013,384169,13568,902701,35.12,,
2020,4,Corrientes,67,527,31900,26321,25687,9383,26789,4985,125659,25.45,,
2020,4,Entre Ríos,105,2911,65659,53556,40755,16600,53141,14654,247381,24.05,,
2020,4,Formosa,56,0,23540,7606,7181,1197,8946,1680,50206,19.7,,
2020,4,Jujuy,49,182,23772,14379,44930,446,19282,2811,105851,25.21,,
2020,4,La Pampa,298,554,70184,8124,6562,2396,6257,2520,96895,9.88,,
2020,4,La Rioja,18,1,36906,6060,4633,181,4979,0,52778,12.53,,
2020,4,Mendoza,28,40,146312,11172,40396,3378,11557,2570,215453,11.09,,
2020,4,Misiones,51,524,39988,26078,26445,14810,32264,7001,147161,24.96,,
2020,4,Neuquén,116,327,56434,8478,5791,5493,50776,5720,133135,33.91,,
2020,4,Río Negro,125,466,70305,4153,13131,3512,29372,20146,141210,21.64,,
2020,4,Salta,109,514,41443,68829,15188,8291,46697,6319,187390,25.32,,
2020,4,San Juan,25,194,61316,740,5126,332,275,4588,72596,6.41,,
2020,4,San Luis,58,0,14020,3490,2688,62239,22,36918,119435,21.25,,
2020,4,Santa Cruz,47,0,27173,4382,6634,1033,647,758,40674,7.49,,
2020,4,Santa Fe,518,891,206372,203793,94246,65145,226246,23602,820813,27.29,,
2020,4,Santiago Del Estero,123,909,34518,57590,4666,411,4520,3932,106669,11.28,,
2020,4,Tierra Del Fuego,17,0,21881,6119,3497,488,922,6690,39614,8.49,,
2020,4,Tucumán,29,97,44095,54334,32155,4105,93594,2680,231089,36.44,,
2020,3,Buenos Aires,37542,31514,1113823,234710,219772,194248,2085815,19853,3937277,48.38,,
2020,3,Capital Federal,264,312,162222,85083,68753,78028,977766,247,1372675,63.81,,
2020,3,Catamarca,63,0,8276,8768,11195,562,18886,2154,49904,36.54,,
2020,3,Chaco,308,112,24675,21639,27546,13751,38729,7194,133954,30.8,,
2020,3,Chubut,158,109,87559,22114,12217,2818,1110,3942,130027,7.4,,
2020,3,Córdoba,168,3064,218599,124833,84236,63823,361021,11728,867472,33.51,,
2020,3,Corrientes,72,527,35190,23315,25308,8615,25344,5020,123391,23.85,,
2020,3,Entre Ríos,130,2911,66648,51478,40797,14377,49395,15759,241495,22.43,,
2020,3,Formosa,391,151,23163,7432,7125,991,8219,1737,49209,18.28,,
2020,3,Jujuy,55,182,32131,10566,45198,293,15238,3065,106728,21.91,,
2020,3,La Pampa,293,810,66695,7820,5577,2189,6322,4029,93735,10.7,,
2020,3,La Rioja,21,1,37105,5955,4660,124,4748,2,52616,12.19,,
2020,3,Mendoza,58,40,141404,12123,42433,3448,8237,45,207788,10.19,,
