Año,Trimestre,Provincia,Accesos por cada 100 hogares,Accesos por cada 100 hab,Mbps (Media de bajada),Banda ancha fija,Dial up,Total
2019,4,Misiones,39.79,11,20.32,135813,- 0,135813
2019,4,Neuquén,59.36,18,26.02,116069,376,116445
2019,4,Río Negro,55.71,17,17.18,126636,504,127140
2019,4,Salta,50.35,12,19.08,172443,2,172445
2019,4,San Juan,32.85,8,6.04,64715,259,64974
2019,4,San Luis,74.92,21,20.69,108053,148,108201
2019,4,Santa Cruz,36.71,11,5.21,39170,200,39370
2019,4,Santa Fe,69.48,22,20.55,769019,150,769169
2019,4,Santiago Del Estero,42.92,11,9.79,103587,1,103588
2019,4,Tierra Del Fuego,79.7,24,7.27,40101,291,40392
2019,4,Tucumán,47.65,12,29.87,198621,23,198644
2019,3,Buenos Aires,69.36,23,25.68,3950114,10119,3960233
2019,3,Capital Federal,112.65,47,38.71,1437734,3477,1441211
2019,3,Catamarca,30.88,8,9.29,32391,9,32400
2019,3,Chaco,35.85,10,19.99,114438,13,114451
2019,3,Chubut,47.57,15,6.97,87481,1524,89005
2019,3,Córdoba,68.59,21,23.19,782946,107,783053
2019,3,Corrientes,38.49,10,16.7,112749,10,112759
2019,3,Entre Ríos,57.9,17,14.7,238057,45,238102
2019,3,Formosa,30.11,8,13.22,46066,- 0,46066
2019,3,Jujuy,44.32,11,11.97,86575,1,86576
2019,3,La Pampa,77.45,26,5.72,90559,269,90828
2019,3,La Rioja,47.94,13,8.0,49659,18,49677
2019,3,Mendoza,40.74,11,6.11,223015,1322,224337
2019,3,Misiones,39.33,11,17.93,133883,- 0,133883
2019,3,Neuquén,64.14,19,23.75,123435,1986,125421
2019,3,Río Negro,63.42,20,15.98,143391,904,144295
2019,3,Salta,44.48,11,14.75,151834,1,151835
2019,3,San Juan,37.06,9,6.04,72535,563,73098
2019,3,San Luis,85.23,24,19.74,122409,291,122700
2019,3,Santa Cruz,35.63,11,5.02,37642,328,37970
2019,3,Santa Fe,68.87,22,18.17,760706,228,760934
2019,3,Santiago Del Estero,55.3,14,9.39,133130,2,133132
2019,3,Tierra Del Fuego,96.46,29,6.69,48043,544,48587
2019,3,Tucumán,39.49,10,19.32,164099,32,164131
2019,2,Buenos Aires,67.85,22,22.48,3845594,10104,3855698
2019,2,Capital Federal,110.55,46,30.35,1412177,3443,1415620
2019,2,Catamarca,32.13,8,8.81,33626,9,33635
2019,2,Chaco,34.14,9,16.01,108721,13,108734
2019,2,Chubut,46.99,14,6.05,86038,1518,87556
2019,2,Córdoba,68.07,21,18.43,775023,105,775128
2019,2,Corrientes,38.16,10,13.83,111539,10,111549
2019,2,Entre Ríos,57.48,17,12.19,235780,44,235824
2019,2,Formosa,30.42,8,10.84,46438,- 0,46438
2019,2,Jujuy,44.51,11,12.07,86706,1,86707
2019,2,La Pampa,77.08,25,5.49,89937,268,90205
2019,2,La Rioja,48.7,13,7.89,50283,18,50301
2019,2,Mendoza,40.75,11,6.03,222535,1322,223857
2019,2,Misiones,39.15,11,14.5,132878,- 0,132878
2019,2,Neuquén,63.08,19,17.24,120954,1999,122953
2019,2,Río Negro,61.09,19,11.63,137632,915,138547
2019,2,Salta,41.89,10,12.55,142567,1,142568
2019,2,San Juan,35.6,9,6.12,69461,564,70025
2019,2,San Luis,81.79,23,19.88,117094,291,117385
2019,2,Santa Cruz,28.85,9,6.01,30225,325,30550
2019,2,Santa Fe,67.42,21,15.07,743258,226,743484
2019,2,Santiago Del Estero,52.79,13,7.1,126752,2,126754
2019,2,Tierra Del Fuego,94.8,28,6.34,46910,544,47454
2019,2,Tucumán,40.14,10,18.53,166299,32,166331
2019,1,Buenos Aires,66.24,22,19.64,3736563,10104,3746667
2019,1,Capital Federal,109.2,46,24.72,1396157,3443,1399600
2019,1,Catamarca,32.19,8,7.96,33613,9,33622
2019,1,Chaco,32.64,9,13.44,103664,13,103677
2019,1,Chubut,43,13,5.89,78260,1518,79778
2019,1,Córdoba,65.52,20,15.73,744010,105,744115
2019,1,Corrientes,35.13,9,12.05,102477,10,102487
2019,1,Entre Ríos,56.79,17,10.66,232403,44,232447
2019,1,Formosa,29.68,8,9.83,45211,- 0,45211
2019,1,Jujuy,46.41,12,8.56,90146,1,90147
2019,1,La Pampa,76.35,25,5.06,88892,268,89160
2019,1,La Rioja,50.18,13,7.09,51638,18,51656
2019,1,Mendoza,37.66,11,5.74,204976,1322,206298
2019,1,Misiones,36.26,10,12.51,122720,- 0,122720
2019,1,Neuquén,58.88,18,15.88,112321,2056,114377
2019,1,Río Negro,53.57,16,10.49,120173,915,121088
2019,1,Salta,40.1,10,10.38,136019,1,136020
2019,1,San Juan,31.83,8,5.84,61881,564,62445
2019,1,San Luis,67.34,19,8.71,96044,291,96335
2019,1,Santa Cruz,23.67,7,5.78,24580,325,24905
2019,1,Santa Fe,66.97,21,12.99,736851,227,737078
2019,1,Santiago Del Estero,37.52,9,6.42,89851,2,89853
2019,1,Tierra Del Fuego,93.38,28,6.34,45903,544,46447
2019,1,Tucumán,41.63,10,16.57,171970,32,172002
2018,4,Buenos Aires,64.6,21,16.93,3626502,10104,3636606
2018,4,Capital Federal,108.27,45,22.94,1385577,3443,1389020
2018,4,Catamarca,32.23,8,8.04,33574,9,33583
2018,4,Chaco,32.59,9,13.49,103257,13,103270
2018,4,Chubut,42.61,13,6.09,77204,1518,78722
2018,4,Córdoba,65.09,20,15.81,737234,105,737339
2018,4,Corrientes,34.57,9,12.14,100591,10,100601
2018,4,Entre Ríos,54.37,16,11.02,222003,44,222047
2018,4,Formosa,29.74,8,9.82,45204,- 0,45204
2018,4,Jujuy,46.53,12,8.56,90132,1,90133
2018,4,La Pampa,73.49,24,4.32,85368,268,85636
2018,4,La Rioja,50.35,13,7.09,51633,18,51651
2018,4,Mendoza,37.76,11,5.75,204982,1322,206304
2018,4,Misiones,34.45,9,12.5,116273,- 0,116273
2018,4,Neuquén,59.07,18,15.89,112309,2056,114365
2018,4,Río Negro,51.86,16,10.49,115922,915,116837
2018,4,Salta,39.8,10,10.46,134577,1,134578
2018,4,San Juan,31.9,8,5.72,61834,564,62398
2018,4,San Luis,67.55,19,8.82,96040,291,96331
2018,4,Santa Cruz,23.69,7,5.12,24443,325,24768
2018,4,Santa Fe,65.59,21,13.18,720161,229,720390
2018,4,Santiago Del Estero,37.4,9,6.31,89333,2,89335
2018,4,Tierra Del Fuego,93.59,28,7.44,45716,544,46260
2018,4,Tucumán,41.76,10,16.58,171972,32,172004
2018,3,Buenos Aires,64.44,21,16.78,3599714,10563,3610277
2018,3,Capital Federal,108.45,45,21.64,1385804,6686,1392490
2018,3,Catamarca,32.92,8,7.81,34215,11,34226
2018,3,Chaco,32.28,9,12.89,102021,12,102033
2018,3,Chubut,56.39,17,6.08,101310,2426,103736
2018,3,Córdoba,64.24,20,14.82,725764,94,725858
2018,3,Corrientes,34.25,9,11.49,99445,11,99456
2018,3,Entre Ríos,50.22,15,10.52,204560,48,204608
2018,3,Formosa,29.58,8,9.32,44865,- 0,44865
2018,3,Jujuy,23.26,6,7.67,44934,1,44935
2018,3,La Pampa,71.75,24,4.28,83180,244,83424
2018,3,La Rioja,50.73,14,6.16,51855,17,51872
2018,3,Mendoza,37.99,11,5.79,205545,1484,207029
2018,3,Misiones,32.1,9,12.49,108042,- 0,108042
2018,3,Neuquén,60.49,18,14.67,114713,2005,116718
2018,3,Río Negro,50.54,16,10.06,112433,1059,113492
2018,3,Salta,39.43,10,9.27,132882,1,132883
2018,3,San Juan,33.05,8,5.74,63823,658,64481
2018,3,San Luis,52.35,15,8.81,74121,300,74421
2018,3,Santa Cruz,32.73,10,5.37,33565,434,33999
2018,3,Santa Fe,63.41,20,12.36,694883,217,695100
2018,3,Santiago Del Estero,36.25,9,5.78,86358,2,86360
2018,3,Tierra Del Fuego,92.77,28,5.99,45056,508,45564
2018,3,Tucumán,41.68,10,15.26,171135,31,171166
2018,2,Buenos Aires,62.78,20,14.68,3490134,10565,3500699
2018,2,Capital Federal,106.53,45,18.94,1362498,6688,1369186
2018,2,Catamarca,32.86,8,7.69,34078,11,34089
2018,2,Chaco,31.25,8,12.5,98509,12,98521
2018,2,Chubut,54.9,17,5.33,98137,2427,100564
2018,2,Córdoba,63.27,19,13.88,712979,94,713073
2018,2,Corrientes,33.81,9,10.88,97946,11,97957
2018,2,Entre Ríos,49.2,15,10.19,199937,48,199985
2018,2,Formosa,29.43,7,8.97,44554,,44554
2018,2,Jujuy,23.43,6,6.29,45132,1,45133
2018,2,La Pampa,71.04,23,4.1,82177,244,82421
2018,2,La Rioja,50.98,14,5.59,51931,17,51948
2018,2,Mendoza,36.97,10,5.88,199468,1484,200952
2018,2,Misiones,31.63,9,11.76,106147,,106147
2018,2,Neuquén,60.24,18,13.37,113842,2006,115848
2018,2,Río Negro,50.15,15,9.51,111176,1059,112235
2018,2,Salta,39.94,10,8.93,134166,1,134167
2018,2,San Juan,32.95,8,5.85,63443,658,64101
2018,2,San Luis,15.15,4,5.9,21168,300,21468
2018,2,Santa Cruz,33.33,10,5.19,33970,435,34405
2018,2,Santa Fe,62.57,20,11.75,684243,309,684552
2018,2,Santiago Del Estero,35.26,9,5.91,83773,2,83775
2018,2,Tierra Del Fuego,91.61,27,5.94,44199,508,44707
2018,2,Tucumán,41.51,10,13.51,169926,31,169957
