Año,Trimestre,Provincia,Tipo Conexion,Accesos
2017,1,Tucumán,ADSL,147373
2016,4,Buenos Aires,ADSL,1563542
2016,4,Capital Federal,ADSL,434835
2016,4,Catamarca,ADSL,26735
2016,4,Chaco,ADSL,54974
2016,4,Chubut,ADSL,43994
2016,4,Córdoba,ADSL,337368
2016,4,Corrientes,ADSL,54981
2016,4,Entre Ríos,ADSL,109359
2016,4,Formosa,ADSL,22400
2016,4,Jujuy,ADSL,33838
2016,4,La Pampa,ADSL,12754
2016,4,La Rioja,ADSL,16270
2016,4,Mendoza,ADSL,153320
2016,4,Misiones,ADSL,57983
2016,4,Neuquén,ADSL,51742
2016,4,Río Negro,ADSL,67057
2016,4,Salta,ADSL,79389
2016,4,San Juan,ADSL,48670
2016,4,San Luis,ADSL,11432
2016,4,Santa Cruz,ADSL,15607
2016,4,Santa Fe,ADSL,326721
2016,4,Santiago Del Estero,ADSL,30192
2016,4,Tierra Del Fuego,ADSL,22636
2016,4,Tucumán,ADSL,146995
2016,3,Buenos Aires,ADSL,1574216
2016,3,Capital Federal,ADSL,447726
2016,3,Catamarca,ADSL,26689
2016,3,Chaco,ADSL,56251
2016,3,Chubut,ADSL,43987
2016,3,Córdoba,ADSL,348481
2016,3,Corrientes,ADSL,55934
2016,3,Entre Ríos,ADSL,112588
2016,3,Formosa,ADSL,21800
2016,3,Jujuy,ADSL,34250
2016,3,La Pampa,ADSL,12751
2016,3,La Rioja,ADSL,16891
2016,3,Mendoza,ADSL,153233
2016,3,Misiones,ADSL,59776
2016,3,Neuquén,ADSL,51752
2016,3,Río Negro,ADSL,67043
2016,3,Salta,ADSL,80866
2016,3,San Juan,ADSL,48670
2016,3,San Luis,ADSL,11432
2016,3,Santa Cruz,ADSL,15570
2016,3,Santa Fe,ADSL,334911
2016,3,Santiago Del Estero,ADSL,31730
2016,3,Tierra Del Fuego,ADSL,22636
2016,3,Tucumán,ADSL,147259
2016,2,Buenos Aires,ADSL,1579448
2016,2,Capital Federal,ADSL,450644
2016,2,Catamarca,ADSL,26262
2016,2,Chaco,ADSL,56112
2016,2,Chubut,ADSL,43977
2016,2,Córdoba,ADSL,348891
2016,2,Corrientes,ADSL,55511
2016,2,Entre Ríos,ADSL,112809
2016,2,Formosa,ADSL,22101
2016,2,Jujuy,ADSL,33758
2016,2,La Pampa,ADSL,12754
2016,2,La Rioja,ADSL,16691
2016,2,Mendoza,ADSL,153321
2016,2,Misiones,ADSL,59573
2016,2,Neuquén,ADSL,51742
2016,2,Río Negro,ADSL,67031
2016,2,Salta,ADSL,79438
2016,2,San Juan,ADSL,48670
2016,2,San Luis,ADSL,11432
2016,2,Santa Cruz,ADSL,15453
2016,2,Santa Fe,ADSL,336244
2016,2,Santiago Del Estero,ADSL,32101
2016,2,Tierra Del Fuego,ADSL,22636
2016,2,Tucumán,ADSL,145486
2016,1,Buenos Aires,ADSL,1583560
2016,1,Capital Federal,ADSL,454425
2016,1,Catamarca,ADSL,26096
2016,1,Chaco,ADSL,56353
2016,1,Chubut,ADSL,43967
2016,1,Córdoba,ADSL,350884
2016,1,Corrientes,ADSL,55454
2016,1,Entre Ríos,ADSL,113101
2016,1,Formosa,ADSL,21852
2016,1,Jujuy,ADSL,33481
2016,1,La Pampa,ADSL,12754
2016,1,La Rioja,ADSL,16645
2016,1,Mendoza,ADSL,153299
2016,1,Misiones,ADSL,59538
2016,1,Neuquén,ADSL,51702
2016,1,Río Negro,ADSL,66894
2016,1,Salta,ADSL,78973
2016,1,San Juan,ADSL,48670
2016,1,San Luis,ADSL,11432
2016,1,Santa Cruz,ADSL,15654
2016,1,Santa Fe,ADSL,338052
2016,1,Santiago Del Estero,ADSL,32838
2016,1,Tierra Del Fuego,ADSL,22636
2016,1,Tucumán,ADSL,144233
